article_id,ticker,sentiment_label,confidence_score
98,ADBE,neutral,0.9383
99,ORCL,positive,0.5000
100,ADBE,positive,0.8594
101,ADBE,positive,0.7398
102,ADBE,neutral,0.9216
103,ADBE,positive,0.7601
104,AMZN,positive,0.7347
105,ADBE,neutral,0.7324
106,ADBE,neutral,0.8664
107,ADBE,neutral,0.8308
108,ADBE,neutral,0.9194
109,ADBE,negative,0.3749
110,ADBE,neutral,0.8768
111,ORCL,negative,0.9408
112,ADBE,neutral,0.9398
113,ADBE,positive,0.7775
114,ADBE,neutral,0.9319
115,ADBE,positive,0.8951
116,ADBE,neutral,0.9414
117,GOOGL,neutral,0.5739
118,ADBE,neutral,0.9451
119,ADBE,neutral,0.8815
120,ADBE,negative,0.9453
121,ADBE,negative,0.7131
122,ADBE,neutral,0.9329
123,ADBE,neutral,0.9467
124,ADBE,neutral,0.9327
125,ADBE,neutral,0.8839
126,ADBE,neutral,0.9341
127,ADBE,positive,0.8782
128,ADBE,neutral,0.8345
129,ADBE,neutral,0.9282
130,ADBE,neutral,0.7974
131,MSFT,neutral,0.7675
132,NVDA,neutral,0.9469
133,ADBE,neutral,0.9530
134,ADBE,neutral,0.9516
135,ADBE,positive,0.6565
136,AMZN,neutral,0.8145
137,ADBE,positive,0.9481
138,ADBE,neutral,0.9516
139,ADBE,neutral,0.9236
140,ADBE,neutral,0.8713
141,ADBE,neutral,0.9254
142,ADBE,neutral,0.9227
143,ADBE,neutral,0.8950
144,ADBE,neutral,0.9267
145,ADBE,neutral,0.6650
146,ORCL,negative,0.9678
147,ADBE,neutral,0.9196
148,ORCL,neutral,0.4148
149,AMZN,neutral,0.9153
150,ADBE,neutral,0.9359
151,ADBE,neutral,0.9396
152,CRM,positive,0.7023
153,ADBE,neutral,0.9300
154,ADBE,neutral,0.9176
155,ADBE,neutral,0.9369
156,ADBE,neutral,0.7703
157,ADBE,neutral,0.8754
158,ADBE,positive,0.8584
159,ADBE,neutral,0.8119
160,ADBE,neutral,0.6739
161,ADBE,neutral,0.8963
162,ADBE,neutral,0.9318
163,ADBE,positive,0.5744
164,ADBE,neutral,0.7638
165,ADBE,neutral,0.8465
166,ADBE,neutral,0.8909
167,ADBE,positive,0.7047
168,ADBE,neutral,0.5863
169,ADBE,neutral,0.9137
170,ADBE,positive,0.7137
171,ADBE,neutral,0.9081
172,ADBE,neutral,0.8410
173,ADBE,neutral,0.6668
174,ADBE,positive,0.8484
175,GME,neutral,0.9329
176,ADBE,neutral,0.8677
177,ADBE,neutral,0.6933
178,ADBE,neutral,0.9349
179,ADBE,neutral,0.9316
180,ADBE,neutral,0.9317
181,ADBE,neutral,0.9393
182,ADBE,negative,0.4398
183,ADBE,positive,0.7990
184,ADBE,positive,0.9440
185,ADBE,positive,0.7654
186,ADBE,neutral,0.9311
187,ADBE,neutral,0.9228
188,ADBE,neutral,0.8682
189,ADBE,neutral,0.9319
190,ADBE,negative,0.9007
191,ADBE,neutral,0.9113
192,ADBE,neutral,0.9050
193,ADBE,positive,0.7919
194,ADBE,neutral,0.8802
195,ADBE,negative,0.7432
196,ADBE,neutral,0.9061
197,ADBE,neutral,0.7332
198,ADBE,negative,0.4893
199,ADBE,neutral,0.8261
200,ADBE,positive,0.7191
201,ADBE,neutral,0.8718
202,ADBE,neutral,0.8358
203,ADBE,neutral,0.7998
204,ADBE,neutral,0.8557
205,GOOGL,neutral,0.7646
206,ADBE,neutral,0.9203
207,ADBE,neutral,0.9044
208,ADBE,neutral,0.9403
209,AMZN,negative,0.5591
210,ADBE,neutral,0.9320
211,MSFT,neutral,0.9506
212,NFLX,neutral,0.9417
213,AMC,neutral,0.9525
214,GME,neutral,0.9360
215,AMC,neutral,0.9514
216,AMC,neutral,0.9530
217,AMC,neutral,0.9524
218,AMC,neutral,0.9534
219,AMC,neutral,0.9444
220,AMC,neutral,0.9521
221,AMC,neutral,0.9507
222,GME,neutral,0.7538
223,AMC,neutral,0.9509
224,AMC,neutral,0.9531
225,AAPL,neutral,0.9531
226,AAPL,neutral,0.9535
227,AMC,neutral,0.9536
228,AAPL,neutral,0.9527
229,MSFT,neutral,0.7675
230,MSFT,neutral,0.9313
231,AMC,neutral,0.9536
232,GME,negative,0.6066
233,AMZN,neutral,0.8808
234,MSFT,neutral,0.9528
235,MSFT,neutral,0.9517
236,CRM,neutral,0.9113
237,AAPL,neutral,0.9501
238,META,neutral,0.9506
239,AMC,neutral,0.9522
240,AAPL,neutral,0.9492
241,AMC,neutral,0.9529
242,AMC,neutral,0.9524
243,AMC,neutral,0.9519
244,AMC,neutral,0.9535
245,AMC,neutral,0.9535
246,AMC,neutral,0.9509
247,AMC,neutral,0.9530
248,AMC,neutral,0.9502
249,AMC,neutral,0.9530
250,AMZN,neutral,0.9510
251,INTC,neutral,0.9308
252,ADBE,neutral,0.7727
253,ADBE,neutral,0.6690
254,NVDA,negative,0.5781
255,NVDA,negative,0.8459
256,TSLA,neutral,0.9230
257,AAPL,neutral,0.9494
258,INTC,negative,0.5694
259,INTC,neutral,0.8470
260,ORCL,neutral,0.5817
261,GOOGL,neutral,0.9513
262,INTC,positive,0.8625
263,INTC,positive,0.9263
264,INTC,positive,0.9322
265,NVDA,neutral,0.9143
266,INTC,neutral,0.7131
267,TSLA,neutral,0.8383
268,INTC,positive,0.9256
269,GME,positive,0.9508
270,TSLA,neutral,0.9225
271,NVDA,neutral,0.7124
272,META,positive,0.8058
273,TSLA,neutral,0.9244
274,MSFT,neutral,0.9556
275,AAPL,neutral,0.8733
276,INTC,neutral,0.5383
277,AAPL,negative,0.9631
278,META,neutral,0.9515
279,INTC,positive,0.9507
280,NVDA,neutral,0.7750
281,NVDA,positive,0.9420
282,INTC,neutral,0.9243
283,INTC,negative,0.8754
284,INTC,neutral,0.9339
285,NVDA,positive,0.8717
286,NVDA,positive,0.8717
287,NVDA,positive,0.9477
288,NVDA,positive,0.9477
289,TSLA,neutral,0.9059
290,INTC,positive,0.6957
291,NFLX,neutral,0.9423
292,INTC,positive,0.9263
293,INTC,positive,0.9322
294,INTC,neutral,0.7131
295,INTC,neutral,0.9423
296,INTC,positive,0.9256
297,NFLX,negative,0.7108
298,GME,neutral,0.9053
299,TSLA,neutral,0.9516
300,GME,neutral,0.9504
301,IBM,neutral,0.9526
302,AMC,neutral,0.9524
303,AMC,neutral,0.9516
304,AAPL,neutral,0.9526
305,META,neutral,0.9116
306,AAPL,neutral,0.9463
307,AMZN,positive,0.8682
308,AAPL,neutral,0.8623
309,AMC,neutral,0.8846
310,AMC,neutral,0.5294
311,AMZN,neutral,0.9320
312,AMZN,neutral,0.9379
313,AMC,neutral,0.9493
314,AAPL,neutral,0.9490
315,GME,negative,0.6066
316,GME,neutral,0.9538
317,CRM,neutral,0.9334
318,CSCO,neutral,0.9514
319,NFLX,neutral,0.9292
320,AMC,neutral,0.9517
321,MSFT,neutral,0.8452
322,AAPL,neutral,0.9489
323,GOOGL,neutral,0.6269
324,GME,positive,0.5825
325,TSLA,positive,0.6544
326,AAPL,neutral,0.6682
327,TSLA,neutral,0.8818
328,TSLA,neutral,0.9269
329,GOOGL,neutral,0.9383
330,NVDA,positive,0.7626
331,MSFT,neutral,0.9340
332,INTC,neutral,0.9444
333,AMZN,neutral,0.9425
334,TSLA,neutral,0.7970
335,IBM,neutral,0.9298
336,CSCO,neutral,0.5868
337,GOOGL,neutral,0.8822
338,NVDA,neutral,0.9489
339,GME,neutral,0.9087
340,AMZN,neutral,0.9439
341,AMZN,neutral,0.9388
342,AAPL,neutral,0.9370
343,AMZN,neutral,0.9107
344,AMZN,neutral,0.7319
345,INTC,positive,0.6710
346,GME,neutral,0.9116
347,GME,neutral,0.9402
348,AMZN,neutral,0.8151
349,AAPL,neutral,0.8506
350,AMZN,neutral,0.9338
351,AAPL,neutral,0.9381
352,TSLA,neutral,0.8180
353,AAPL,neutral,0.5639
354,AAPL,neutral,0.5639
355,TSLA,neutral,0.8795
356,TSLA,neutral,0.8481
357,TSLA,neutral,0.9355
358,TSLA,neutral,0.9472
359,AMC,neutral,0.9340
360,AMZN,neutral,0.8142
361,AMZN,neutral,0.9443
362,AMZN,neutral,0.9459
363,AMC,neutral,0.8939
364,AMC,neutral,0.9526
365,NVDA,neutral,0.7673
366,AMC,neutral,0.9380
367,AMZN,neutral,0.9242
368,GME,neutral,0.8803
369,TSLA,neutral,0.9531
370,TSLA,neutral,0.9528
371,META,neutral,0.9135
372,AAPL,neutral,0.9447
373,AAPL,neutral,0.9444
374,TSLA,neutral,0.9454
375,AAPL,neutral,0.9510
376,TSLA,positive,0.7737
377,TSLA,positive,0.7737
378,TSLA,negative,0.7583
379,AMC,neutral,0.9528
380,AAPL,neutral,0.9530
381,GME,negative,0.6046
382,INTC,positive,0.5009
383,AAPL,neutral,0.9445
384,AAPL,neutral,0.9490
385,AAPL,neutral,0.9496
386,AAPL,neutral,0.9499
387,AAPL,neutral,0.9448
388,AAPL,neutral,0.9481
389,AAPL,neutral,0.9444
390,INTC,neutral,0.9255
391,AMC,neutral,0.9522
392,AAPL,neutral,0.9468
393,AMC,neutral,0.9493
394,AAPL,neutral,0.9457
395,AAPL,neutral,0.9491
396,AMC,neutral,0.9503
397,AMC,neutral,0.9444
398,CRM,neutral,0.8844
399,MSFT,neutral,0.9329
400,AAPL,neutral,0.9440
401,AAPL,neutral,0.9470
402,AMC,neutral,0.9500
403,MSFT,neutral,0.9361
404,CSCO,neutral,0.9036
405,AMZN,neutral,0.5008
406,AMZN,neutral,0.6564
407,AMZN,neutral,0.6564
408,AMZN,neutral,0.6564
409,INTC,neutral,0.9383
410,MSFT,neutral,0.9379
411,TSLA,neutral,0.9230
412,CSCO,neutral,0.9514
413,CSCO,neutral,0.9527
414,AMC,positive,0.8708
415,GME,neutral,0.8588
416,TSLA,positive,0.8690
417,TSLA,positive,0.5283
418,META,positive,0.8839
419,META,neutral,0.8469
420,GOOGL,neutral,0.9379
421,GOOGL,neutral,0.9281
422,AMC,neutral,0.9455
423,AMC,neutral,0.9529
424,AMC,neutral,0.9533
425,NVDA,neutral,0.9379
426,NVDA,neutral,0.9499
427,GME,neutral,0.8438
428,AMZN,neutral,0.9399
429,NVDA,neutral,0.9150
430,AMZN,neutral,0.9374
431,GOOGL,positive,0.5390
432,TSLA,neutral,0.8927
433,AAPL,neutral,0.9528
434,AAPL,neutral,0.9528
435,AAPL,neutral,0.9483
436,AAPL,neutral,0.9502
437,INTC,neutral,0.9522
438,MSFT,neutral,0.9508
439,TSLA,neutral,0.9498
440,MSFT,neutral,0.9486
441,AAPL,neutral,0.9540
442,AAPL,neutral,0.9513
443,AMC,neutral,0.9524
444,AMC,neutral,0.9530
445,AMC,neutral,0.9517
446,AMC,neutral,0.9529
447,AMC,neutral,0.9498
448,AAPL,neutral,0.9452
449,AAPL,neutral,0.9494
450,AMC,neutral,0.9512
451,AMC,neutral,0.9479
452,AMC,neutral,0.9512
453,AMC,neutral,0.9508
454,AMC,neutral,0.9483
455,AMC,neutral,0.9516
456,AMC,neutral,0.9493
457,AMC,neutral,0.9519
458,META,neutral,0.9503
459,AAPL,neutral,0.9493
460,AAPL,neutral,0.9457
461,AAPL,neutral,0.9503
462,AAPL,neutral,0.9499
463,INTC,neutral,0.9494
464,AAPL,neutral,0.9500
465,AMC,neutral,0.9527
466,INTC,neutral,0.9471
467,AMC,neutral,0.9529
468,AMC,neutral,0.9509
469,GME,positive,0.9286
470,AAPL,neutral,0.9520
471,MSFT,neutral,0.9411
472,AAPL,neutral,0.9458
473,AAPL,neutral,0.9497
474,IBM,neutral,0.9279
475,CSCO,neutral,0.9317
476,AAPL,neutral,0.9483
477,AAPL,neutral,0.9370
478,CRM,neutral,0.9365
479,META,negative,0.4190
480,TSLA,neutral,0.8700
481,AMC,neutral,0.9477
482,AAPL,neutral,0.9469
483,AAPL,positive,0.8834
484,AMZN,neutral,0.5241
485,AAPL,neutral,0.9513
486,AAPL,neutral,0.9483
487,NVDA,neutral,0.6824
488,INTC,neutral,0.9494
489,NVDA,neutral,0.5327
490,AMC,neutral,0.9506
491,AAPL,neutral,0.9481
492,AMC,neutral,0.9527
493,AMC,neutral,0.9530
494,AAPL,neutral,0.9496
495,AMZN,positive,0.5987
496,AAPL,neutral,0.9522
497,AAPL,neutral,0.9472
498,TSLA,positive,0.9522
499,TSLA,positive,0.8084
500,TSLA,neutral,0.7919
501,TSLA,negative,0.9634
502,AMZN,neutral,0.9054
503,TSLA,positive,0.5842
504,TSLA,neutral,0.9295
505,TSLA,neutral,0.8450
506,TSLA,neutral,0.9134
507,TSLA,neutral,0.7427
508,AMZN,neutral,0.8201
509,TSLA,neutral,0.8700
510,AAPL,neutral,0.9445
511,AAPL,neutral,0.9467
512,MSFT,neutral,0.9147
513,TSLA,neutral,0.9427
514,AAPL,neutral,0.9478
515,TSLA,neutral,0.6721
516,MSFT,neutral,0.8787
517,AAPL,positive,0.8834
518,AMC,neutral,0.9526
519,TSLA,neutral,0.9335
520,AAPL,neutral,0.9494
521,META,neutral,0.8583
522,NVDA,neutral,0.7452
523,CRM,neutral,0.9534
524,AAPL,neutral,0.9374
525,META,neutral,0.8759
526,NFLX,neutral,0.9230
527,INTC,negative,0.9676
528,NVDA,neutral,0.9468
529,NVDA,negative,0.5781
530,NVDA,negative,0.8459
531,AAPL,neutral,0.9456
532,AMZN,neutral,0.9033
533,NVDA,neutral,0.9429
534,NVDA,positive,0.5512
535,AAPL,neutral,0.9482
536,INTC,neutral,0.8692
537,INTC,negative,0.5694
538,NVDA,positive,0.8640
539,IBM,neutral,0.9125
540,INTC,positive,0.5442
541,MSFT,positive,0.8001
542,MSFT,positive,0.6006
543,MSFT,positive,0.7495
544,NVDA,neutral,0.9453
545,GOOGL,neutral,0.9409
546,INTC,positive,0.5843
547,NVDA,positive,0.8985
548,NVDA,neutral,0.9341
549,TSLA,neutral,0.8246
550,TSLA,neutral,0.8631
551,NVDA,positive,0.7300
552,META,neutral,0.7062
553,NVDA,neutral,0.7278
554,META,neutral,0.9310
555,NVDA,negative,0.8924
556,NVDA,negative,0.9294
557,TSLA,neutral,0.9219
558,NVDA,neutral,0.9528
559,NVDA,neutral,0.8656
560,NVDA,neutral,0.9528
561,NVDA,negative,0.5618
562,META,neutral,0.9088
563,NVDA,neutral,0.5002
564,AMZN,neutral,0.9425
565,NVDA,neutral,0.6260
566,TSLA,positive,0.6282
567,META,neutral,0.9435
568,NVDA,positive,0.8972
569,NVDA,negative,0.7384
570,NVDA,negative,0.9593
571,NVDA,positive,0.5546
572,NVDA,negative,0.5109
573,TSLA,positive,0.7137
574,NVDA,neutral,0.8715
575,NVDA,neutral,0.8070
576,ADBE,neutral,0.9211
577,META,neutral,0.8528
578,NVDA,negative,0.9593
579,NVDA,neutral,0.7656
580,NVDA,neutral,0.6402
581,NVDA,neutral,0.9256
582,NVDA,neutral,0.7048
583,NVDA,neutral,0.9346
584,INTC,neutral,0.9169
585,META,neutral,0.9033
586,NVDA,neutral,0.8587
587,NVDA,neutral,0.7452
588,TSLA,neutral,0.7210
589,META,neutral,0.9132
590,META,neutral,0.9344
591,META,neutral,0.9091
592,META,neutral,0.8384
593,NVDA,neutral,0.8004
594,NVDA,neutral,0.9176
595,INTC,positive,0.9066
596,META,neutral,0.8835
597,NVDA,neutral,0.9393
598,META,neutral,0.9035
599,NVDA,neutral,0.7741
600,GME,negative,0.9558
601,NVDA,negative,0.9400
602,NVDA,neutral,0.9148
603,NVDA,neutral,0.9076
604,NVDA,neutral,0.5437
605,META,neutral,0.8095
606,META,neutral,0.8312
607,INTC,negative,0.8755
608,NVDA,negative,0.9626
609,META,neutral,0.9350
610,NVDA,positive,0.8931
611,NVDA,neutral,0.9384
612,NVDA,positive,0.7619
613,NVDA,negative,0.8309
614,NVDA,negative,0.6731
615,META,neutral,0.7155
616,NVDA,neutral,0.9092
617,META,neutral,0.9300
618,NVDA,negative,0.8692
619,NVDA,positive,0.6199
620,NVDA,positive,0.7064
621,NVDA,negative,0.9345
622,NVDA,negative,0.8686
623,NVDA,positive,0.9474
624,META,neutral,0.9274
625,META,neutral,0.8826
626,NVDA,negative,0.5618
627,META,neutral,0.8892
628,NVDA,negative,0.8969
629,NVDA,neutral,0.8535
630,NVDA,neutral,0.9470
631,NVDA,positive,0.7326
632,AMZN,positive,0.7767
633,NVDA,positive,0.7326
634,NVDA,neutral,0.9186
635,NVDA,negative,0.8449
636,NVDA,neutral,0.6544
637,NFLX,neutral,0.9394
638,NVDA,neutral,0.6532
639,NVDA,neutral,0.9336
640,META,neutral,0.9364
641,NVDA,positive,0.5142
642,NVDA,neutral,0.9526
643,NVDA,neutral,0.6175
644,META,neutral,0.8731
645,NVDA,neutral,0.7195
646,META,neutral,0.8367
647,NVDA,negative,0.8692
648,NVDA,neutral,0.7124
649,NVDA,positive,0.6128
650,NVDA,positive,0.8398
651,NVDA,positive,0.7561
652,NVDA,positive,0.6893
653,META,neutral,0.8572
654,NVDA,neutral,0.7452
655,NVDA,positive,0.5644
656,NVDA,neutral,0.8894
657,META,neutral,0.9297
658,NVDA,neutral,0.5941
659,NVDA,negative,0.9601
660,NVDA,neutral,0.8608
661,NVDA,neutral,0.7279
662,NVDA,neutral,0.9272
663,NVDA,neutral,0.7193
664,NVDA,positive,0.9337
665,META,neutral,0.9190
666,NVDA,neutral,0.9312
667,NVDA,positive,0.7545
668,NVDA,neutral,0.8993
669,NVDA,neutral,0.8769
670,META,neutral,0.8887
671,NVDA,positive,0.6070
672,NVDA,positive,0.8974
673,NVDA,negative,0.8229
674,NVDA,neutral,0.9525
675,NVDA,positive,0.9342
676,NVDA,neutral,0.8812
677,NVDA,neutral,0.9489
678,NVDA,neutral,0.9454
679,NVDA,neutral,0.9504
680,NVDA,neutral,0.9206
681,NVDA,negative,0.5987
682,NVDA,positive,0.7972
683,NVDA,neutral,0.5791
684,NVDA,positive,0.9003
685,META,neutral,0.9274
686,NVDA,neutral,0.8971
687,NVDA,neutral,0.9291
688,NVDA,positive,0.9473
689,NVDA,positive,0.5870
690,NVDA,neutral,0.9293
691,NVDA,neutral,0.9317
692,NVDA,negative,0.9422
693,NVDA,neutral,0.8653
694,NVDA,neutral,0.9335
695,NVDA,positive,0.5277
696,NVDA,neutral,0.5964
697,NVDA,neutral,0.7091
698,NVDA,neutral,0.5899
699,NVDA,negative,0.9657
700,NVDA,neutral,0.8906
701,NVDA,positive,0.7571
702,NVDA,positive,0.5908
703,META,neutral,0.9396
704,TSLA,neutral,0.4262
705,NVDA,positive,0.8423
706,NVDA,neutral,0.9131
707,NVDA,neutral,0.9327
708,META,neutral,0.8904
709,AAPL,neutral,0.7769
710,NVDA,neutral,0.9076
711,NVDA,positive,0.7561
712,NVDA,positive,0.6421
713,META,neutral,0.9308
714,NVDA,positive,0.6557
715,META,neutral,0.9244
716,INTC,positive,0.6237
717,META,neutral,0.9343
718,NVDA,negative,0.9486
719,NVDA,positive,0.7159
720,NVDA,neutral,0.9509
721,NVDA,neutral,0.8725
722,META,neutral,0.9075
723,NVDA,neutral,0.9504
724,NVDA,neutral,0.9491
725,NVDA,neutral,0.6987
726,NVDA,positive,0.4981
727,NVDA,negative,0.9500
728,NVDA,neutral,0.6431
729,NVDA,neutral,0.5963
730,NVDA,negative,0.5039
731,NVDA,positive,0.6625
732,NVDA,positive,0.9270
733,NVDA,positive,0.8264
734,INTC,negative,0.6666
735,NVDA,neutral,0.8245
736,NVDA,positive,0.7609
737,NVDA,neutral,0.9297
738,NVDA,negative,0.8265
739,NVDA,positive,0.9479
740,META,neutral,0.8585
741,NVDA,negative,0.5039
742,META,neutral,0.9104
743,INTC,neutral,0.8855
744,NVDA,positive,0.9453
745,NVDA,negative,0.9571
746,NVDA,negative,0.9563
747,MSFT,neutral,0.8853
748,NVDA,positive,0.9384
749,NVDA,negative,0.9470
750,META,neutral,0.7868
751,NVDA,neutral,0.6610
752,META,neutral,0.4896
753,NVDA,neutral,0.9496
754,META,negative,0.7218
755,META,neutral,0.9249
756,NVDA,neutral,0.9158
757,NVDA,neutral,0.6525
758,NVDA,neutral,0.8730
759,NVDA,positive,0.6408
760,INTC,negative,0.8542
761,INTC,neutral,0.8883
762,NVDA,neutral,0.9111
763,NVDA,neutral,0.9256
764,INTC,positive,0.8545
765,NVDA,neutral,0.9279
766,NVDA,neutral,0.7976
767,INTC,positive,0.7356
768,NVDA,neutral,0.8771
769,NVDA,neutral,0.9215
770,NVDA,neutral,0.9428
771,NVDA,positive,0.6408
772,INTC,neutral,0.9197
773,NVDA,neutral,0.9389
774,NVDA,neutral,0.5177
775,MSFT,neutral,0.9355
776,NVDA,neutral,0.9057
777,META,neutral,0.8106
778,INTC,neutral,0.7719
779,NVDA,positive,0.8575
780,NVDA,neutral,0.9502
781,NVDA,positive,0.6213
782,NVDA,neutral,0.8168
783,NVDA,positive,0.5330
784,NVDA,neutral,0.9516
785,NVDA,neutral,0.9526
786,NVDA,neutral,0.9218
787,NVDA,neutral,0.7339
788,NVDA,positive,0.8206
789,NVDA,neutral,0.7452
790,AAPL,neutral,0.9385
791,NVDA,negative,0.5251
792,META,neutral,0.9070
793,NVDA,neutral,0.7750
794,NVDA,neutral,0.9224
795,NVDA,neutral,0.6871
796,NVDA,positive,0.9065
797,NVDA,neutral,0.8158
798,NVDA,negative,0.9593
799,NVDA,positive,0.9168
800,NVDA,neutral,0.8377
801,NVDA,neutral,0.9120
802,NVDA,neutral,0.9468
803,NVDA,negative,0.9488
804,NVDA,neutral,0.8869
805,NVDA,negative,0.7817
806,NVDA,neutral,0.9213
807,NVDA,neutral,0.9224
808,NVDA,positive,0.8729
809,INTC,neutral,0.8397
810,NVDA,neutral,0.7651
811,NVDA,neutral,0.8801
812,NVDA,positive,0.8880
813,AAPL,negative,0.9207
814,NVDA,positive,0.9418
815,NVDA,negative,0.8905
816,AMZN,neutral,0.9425
817,NVDA,neutral,0.7802
818,GME,neutral,0.9222
819,META,neutral,0.9275
820,NVDA,negative,0.9488
821,NVDA,neutral,0.9329
822,META,neutral,0.8696
823,INTC,neutral,0.9243
824,NVDA,neutral,0.9049
825,NVDA,neutral,0.6733
826,INTC,neutral,0.8886
827,NVDA,neutral,0.8680
828,NVDA,neutral,0.9341
829,NVDA,negative,0.9602
830,NVDA,positive,0.5501
831,NVDA,positive,0.5123
832,NVDA,neutral,0.8757
833,NVDA,positive,0.9228
834,NVDA,positive,0.9413
835,NVDA,neutral,0.5863
836,NVDA,neutral,0.6503
837,NVDA,neutral,0.5441
838,NVDA,positive,0.9061
839,NVDA,negative,0.8329
840,META,neutral,0.9028
841,NVDA,neutral,0.9344
842,TSLA,negative,0.6591
843,NVDA,positive,0.8814
844,INTC,neutral,0.8901
845,NVDA,neutral,0.8924
846,NVDA,negative,0.9514
847,NVDA,neutral,0.8379
848,NVDA,positive,0.8917
849,NVDA,neutral,0.9086
850,NVDA,neutral,0.8896
851,NVDA,negative,0.7298
852,NVDA,neutral,0.9525
853,NVDA,neutral,0.8503
854,NVDA,neutral,0.9086
855,NVDA,neutral,0.9249
856,NVDA,neutral,0.6413
857,NVDA,positive,0.8354
858,INTC,positive,0.8093
859,NVDA,neutral,0.7124
860,NVDA,positive,0.9115
861,NVDA,negative,0.5291
862,NVDA,neutral,0.6751
863,NVDA,neutral,0.6824
864,NVDA,neutral,0.6751
865,NVDA,neutral,0.8686
866,NVDA,neutral,0.9429
867,NVDA,neutral,0.9305
868,NVDA,negative,0.5552
869,NVDA,neutral,0.9420
870,NVDA,neutral,0.9107
871,TSLA,neutral,0.9295
872,NVDA,neutral,0.8092
873,NVDA,neutral,0.9332
874,NVDA,neutral,0.6516
875,NVDA,neutral,0.6492
876,NVDA,neutral,0.9000
877,NVDA,neutral,0.7461
878,NVDA,neutral,0.7461
879,NVDA,neutral,0.9371
880,NVDA,neutral,0.9503
881,NVDA,neutral,0.9526
882,TSLA,neutral,0.7974
883,TSLA,neutral,0.7917
884,NVDA,neutral,0.6610
885,NVDA,neutral,0.7897
886,INTC,neutral,0.9486
887,NVDA,negative,0.5196
888,NVDA,positive,0.7698
889,NVDA,positive,0.9102
890,NVDA,neutral,0.9207
891,NVDA,neutral,0.9125
892,NVDA,neutral,0.9308
893,NVDA,positive,0.5465
894,NVDA,positive,0.5185
895,NVDA,neutral,0.9414
896,NVDA,neutral,0.9230
897,NVDA,neutral,0.9279
898,NVDA,neutral,0.9360
899,INTC,neutral,0.6274
900,AMC,neutral,0.9189
901,TSLA,neutral,0.9364
902,AMC,neutral,0.9486
903,NFLX,neutral,0.9417
904,TSLA,neutral,0.9427
905,TSLA,neutral,0.5678
906,TSLA,positive,0.9344
907,TSLA,negative,0.8234
908,TSLA,negative,0.5508
